instant,dteday,season,mnth,holiday,weekday,workingday,weathersit,windspeed,casual,registered,cnt,temp °C,atemp °C,hum %,year
1,2011-01-01,winter,1,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.749882,331,654,985,8.175849,7.99925,80.58330000000001,2011
2,2011-01-02,winter,1,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",16.652113,131,670,801,9.083466000000001,7.3467740000000035,69.6087,2011
3,2011-01-03,winter,1,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",16.636703,120,1229,1349,1.229108,-3.499270000000001,43.7273,2011
4,2011-01-04,winter,1,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.739832,108,1454,1562,1.4000000000000004,-1.9999479999999998,59.0435,2011
5,2011-01-05,winter,1,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.522300000000001,82,1518,1600,2.6669789999999995,-0.8681800000000006,43.695699999999995,2011
6,2011-01-06,winter,1,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",6.0008684,88,1518,1606,1.6043559999999992,-0.6082059999999991,51.8261,2011
7,2011-01-07,winter,1,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.304642,148,1362,1510,1.2365340000000007,-2.2166259999999998,49.8696,2011
8,2011-01-08,winter,1,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.875868,68,891,959,-0.24499999999999922,-5.291236,53.5833,2011
9,2011-01-09,winter,1,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",24.25065,54,768,822,-1.4983489999999993,-8.33245,43.416700000000006,2011
10,2011-01-10,winter,1,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.958889,41,1280,1321,-0.9108490000000007,-6.041392,48.2917,2011
11,2011-01-11,winter,1,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.182844000000001,43,1220,1263,-0.0527230000000003,-3.3633760000000006,68.6364,2011
12,2011-01-12,winter,1,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",20.410009,25,1137,1162,0.11816899999999997,-5.408782,59.954499999999996,2011
13,2011-01-13,winter,1,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",20.166999999999998,38,1368,1406,-0.24499999999999922,-6.041722,47.0417,2011
14,2011-01-14,winter,1,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.478716,54,1367,1421,-0.43910999999999945,-3.5647420000000007,53.7826,2011
15,2011-01-15,winter,1,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.583521,222,1026,1248,2.9666510000000006,0.3753920000000015,49.875,2011
16,2011-01-16,winter,1,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",12.625010999999999,251,953,1204,2.888349,-0.5416779999999992,48.375,2011
17,2011-01-17,winter,1,1,Monday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.999139,117,883,1000,0.264151,-4.333113999999998,53.75,2011
18,2011-01-18,winter,1,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",9.833924999999999,9,674,683,2.1833489999999998,-0.6660219999999999,86.16669999999999,2011
19,2011-01-19,winter,1,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.957239,78,1572,1650,5.732177999999999,3.695852000000002,74.1739,2011
20,2011-01-20,winter,1,0,Thursday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.125568,83,1844,1927,4.298349,0.8333000000000013,53.833299999999994,2011
21,2011-01-21,winter,1,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",23.667214,75,1468,1543,0.34249999999999936,-5.583022,45.7083,2011
22,2011-01-22,winter,1,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.52199,93,888,981,-5.2208711999999995,-10.7814064,40.0,2011
23,2011-01-23,winter,1,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",16.5222,150,836,986,-3.4634801,-9.4766194,43.6522,2011
24,2011-01-24,winter,1,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",10.60811,86,1330,1416,-3.4226089,-8.21662,49.173899999999996,2011
25,2011-01-25,winter,1,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.696332,186,1799,1985,2.5034660000000013,-0.5212839999999996,61.695699999999995,2011
26,2011-01-26,winter,1,0,Wednesday,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",19.68795,34,472,506,2.2225,-2.5624000000000002,86.25,2011
27,2011-01-27,winter,1,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.627078999999999,15,416,431,1.165000000000001,-1.4998000000000005,68.75,2011
28,2011-01-28,winter,1,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.2611,38,1129,1167,1.563466,-1.2610780000000013,79.30430000000001,2011
29,2011-01-29,winter,1,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.739455,123,975,1098,1.2365340000000007,-1.9996840000000002,65.17389999999999,2011
30,2011-01-30,winter,1,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",4.956834199999999,140,956,1096,2.176534,0.5212520000000005,72.2174,2011
31,2011-01-31,winter,1,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.541864,42,1459,1501,0.49915099999999946,-3.7074999999999996,60.375,2011
32,2011-02-01,winter,2,0,Tuesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.565271,47,1313,1360,1.032178,-0.52102,82.9565,2011
33,2011-02-02,winter,2,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",17.708636,72,1454,1526,4.220000000000001,0.7915220000000005,77.5417,2011
34,2011-02-03,winter,2,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",18.609384,61,1489,1550,0.7869790000000005,-4.260052,43.7826,2011
35,2011-02-04,winter,2,0,Friday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",8.565213,88,1620,1708,1.9312880000000003,-0.913257999999999,58.521699999999996,2011
36,2011-02-05,winter,2,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.792293,100,905,1005,2.9666510000000006,0.041827999999998866,92.91669999999999,2011
37,2011-02-06,winter,2,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.5006,354,1269,1623,5.434151,3.2502860000000027,56.833299999999994,2011
38,2011-02-07,winter,2,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.0423561,120,1592,1712,4.768348999999999,4.041428,73.83330000000001,2011
39,2011-02-08,winter,2,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",24.25065,64,1466,1530,2.3791510000000002,-2.9157639999999994,53.7917,2011
40,2011-02-09,winter,2,0,Wednesday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.652213,53,1552,1605,-1.6651990000000003,-6.477322000000001,49.4783,2011
41,2011-02-10,winter,2,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",14.869645,47,1491,1538,-1.2156440000000002,-6.129832,43.7391,2011
42,2011-02-11,winter,2,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.272849999999999,149,1597,1746,0.887277000000001,-1.9084059999999994,50.6364,2011
43,2011-02-12,winter,2,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",13.625589,288,1184,1472,2.4574999999999996,-0.6250359999999997,54.4167,2011
44,2011-02-13,winter,2,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",17.479160999999998,397,1192,1589,6.876534000000001,5.391458,45.7391,2011
